epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1633,0.73047,3.45447,1.19482,0.9331,0.5,0.75289,0.65736,0.7129,3.47607,1.21306,0.00018577,0.00018577,0.00018577
2,183.361,0.55406,2.18503,1.04847,0.00569,0.8871,0.68106,0.61049,0.73447,3.50141,1.25427,0.000347633,0.000347633,0.000347633
3,281.467,0.52392,1.97904,1.00511,0.97944,0.56464,0.6851,0.62164,0.74635,3.0945,1.22587,0.000469884,0.000469884,0.000469884
4,374.379,0.53362,1.65976,0.98558,0.92879,0.54463,0.71735,0.6205,0.7981,3.00074,1.22793,0.000552523,0.000552523,0.000552523
5,470.2,0.51644,1.60513,0.97134,0.86796,0.64516,0.7471,0.64925,0.80087,2.63126,1.2288,0.00059555,0.00059555,0.00059555
6,559.462,0.49275,1.48129,0.92631,0.85133,0.71275,0.79103,0.65664,0.86988,2.34516,1.27121,0.000598965,0.000598965,0.000598965
7,660.406,0.49847,1.42938,0.92846,0.87705,0.73387,0.83548,0.69689,0.75178,2.12385,1.22568,0.000562769,0.000562769,0.000562769
8,771.213,0.44836,1.32558,0.9312,0.86683,0.83871,0.89162,0.75156,0.71138,1.87959,1.1216,0.000438703,0.000438703,0.000438703
9,883.522,0.44114,1.28801,0.90791,0.95198,0.79032,0.88087,0.74995,0.67212,1.72969,1.10732,0.000297232,0.000297232,0.000297232
10,992.599,0.39463,1.20352,0.91712,0.93575,0.81452,0.90659,0.77785,0.64999,1.65877,1.08247,0.000155761,0.000155761,0.000155761
